Card#,Title,Artist,Year,URL,Youtube-Title,Hashed Info
91,Funkytown,Lipps Inc.,1980,https://youtube.com/watch?v=Z6dqIYKIBSU,Lipps Inc. - Funkytown (Audio),2fe1dc8407dee8dc1840232e130a8c7f66e679fe645442d3c21d6c191bb981c5
92,Right Here Waiting,Richard Marx,1989,https://youtube.com/watch?v=S_E2EHVxNAE,Richard Marx - Right Here Waiting (Official Music Video),77f87e7cb4b3d44591a338c76c12040395fe3cc142a2f7ef059009bf5c2b3949
93,Smalltown Boy,Bronski Beat,1984,https://youtube.com/watch?v=88sARuFu-tc,Bronski Beat - Smalltown Boy (Official Video),4854a0c51fd1d119b8e04e79528844b7e915fc8a4223f5c2e4ee3ce6280b3552
94,White Room,Cream,1968,https://youtube.com/watch?v=ond4Wp9nPhM,Cream - White Room,98df78b8247b0849f5ef7c6a5cd67aad5327e66a613560797b047bd3b9d0703f
95,Buffalo Stance,Neneh Cherry,1988,https://youtube.com/watch?v=rFXhBEj6mEE,Neneh Cherry - Buffalo Stance (Remastered),8fcff0edea6f1f5149f81add399b9b8874650df767005fde013903cdd15ffbcd
96,I Want You,Savage Garden,1996,https://youtube.com/watch?v=HQt6jIKNwgU,Savage Garden - I Want You,bc2c2e7e0a77d4088652a9c08253838da79f7f35ed7166803a8dbd33bbea69e4
97,Under The Bridge,Red Hot Chili Peppers,1991,https://youtube.com/watch?v=GLvohMXgcBo,Red Hot Chili Peppers - Under The Bridge [Official Music Video],0e49a9153d69eaf48a351487d70e5ef54902a5b31ffbed0df6bebb6c81cf4fc3
98,Superheroes,The Script,2014,https://youtube.com/watch?v=0y7ygEDRpSo,The Script - Superheroes (Audio),1932ff5f50d92fe0c7a6817e874ad4fa72c8d18fbed62e4f39f6af7afd5c5c89
99,Wonderwall,Oasis,1995,https://youtube.com/watch?v=FVdjZYfDuLE,Wonderwall (Remastered),8048295e218cc2632bf115afcb070617b374e672180dd7f0ed63fd5ffdb1e172
100,You Can't Hurry Love,The Supremes,1966,https://youtube.com/watch?v=ovoBi3pXD_A,The Supremes - You Can't Hurry Love (Official Lyric Video),a1a50686dd05464484b787a20b31fad5c8b9b2b464866575da0798f24236593e
101,Rehab,Amy Winehouse,2006,https://youtube.com/watch?v=KUmZp8pR1uc,Amy Winehouse - Rehab,e9581d4baf74336dd2b04d0113821ea755473b5eeb9ede61a0478524eb489ba7
102,Africa,TOTO,1982,https://youtube.com/watch?v=FTQbiNvZqaY,Toto - Africa (Official HD Video),7bca89f29ffc2a3f692285af89d200b2ad045e02c99ff4e75cceb8f4864b93f0
103,How You Remind Me,Nickelback,2001,https://youtube.com/watch?v=hhSLkkLl750,How You Remind Me,f52eaa9ef7ec96166acba718d78423498788921c9bd9ab290633f700b53b4c80
104,If I Could Turn Back Time,Cher,1989,https://youtube.com/watch?v=_eorELNxxrU,Cher - If I Could Turn Back Time (Lyrics),4611af8bc3edbeefe57796d35e5824d24c1a92c41d07f546adb675c16f1135bf
105,"See You Later, Alligator",Bill Haley & His Comets,1956,https://youtube.com/watch?v=NMP6IGJXG3o,"See You Later, Alligator",522710437c02cc32291f3c2daf37cc54fac4f91f60573b6457cacf7ae96cbba2
106,Stayin' Alive,Bee Gees,1977,https://youtube.com/watch?v=fNFzfwLM72c,Bee Gees - Stayin' Alive (Official Music Video),200914878307402433eb90316e18dc14617e3658282fa0a3500b9b5653f36457
107,Gangsta's Paradise,Coolio (feat. L.V.),1995,https://youtube.com/watch?v=Tw0_qHNRAEA,Gangsta's Paradise,3a7fa3117a5a154583409dd45d8dbca3521259f7919c5a8e3915a49fa10b65f5
108,School,Supertramp,1974,https://youtube.com/watch?v=JgJRM_8GWHg,Supertramp - School (Audio),3d8769e98d200f5b6e1e7c53cef65c767dab06acc4e8d4112f23e9ddd022031d
109,Walk Of Life,Dire Straits,1985,https://youtube.com/watch?v=h2a20YL5mvg,Dire Straits - Walk of Life (Official Audio),bce795d9e3b5a6481c1c88a335a66fbb60fd5c99990d80647461e22a2854de7e
110,Jailhouse Rock,Elvis Presley,1957,https://youtube.com/watch?v=PpsUOOfb-vE,Elvis Presley - Jailhouse Rock (Official Audio),02242b58761eecaa7e201aefe62d48e2dd19cd3c0dae307f2ae401ec30cfb58a
111,It's In His Kiss,Betty Everett,1964,https://youtube.com/watch?v=B4KN6TFhy2I,Betty Everett - Shoop Shoop Song  (it´s in his kiss),302f34a8cc3c4cc61da9a61ea393d4d947be43a660929f56f6882b0484b0bab9
112,Wasted On You,Morgan Wallen,2022,https://youtube.com/watch?v=KE35_SlTdn4,Morgan Wallen – Wasted On You (Audio Only),e3610f313e1b44d1143b0a43712572cde777b923b5b6790472760900481c9dbb
113,7 Years,Lukas Graham,2015,https://youtube.com/watch?v=LHCob76kigA,Lukas Graham - 7 Years [Official Music Video],24ecf1fc202432d33e74a711b7baa1a1a8f5c5a24003f15fbdff90b4f2771cae
114,Day-O,Harry Belafonte,1956,https://youtube.com/watch?v=YO7M0Hx_1D8,Day O (Banana Boat Song),3aa3ea8f92208d8d33510adb6870a70dba08abc279b3d1c655a08a76f6254ee2
115,Blinding Lights,The Weeknd,2019,https://youtube.com/watch?v=fHI8X4OXluQ,The Weeknd - Blinding Lights (Official Audio),8bb65422df595fcd79964ecf4b1d4582f48852e2a97bd01ee8b24b91d1c9d22a
116,Yakety Yak,The Coasters,1958,https://youtube.com/watch?v=epCN0f7FTIY,Yakety Yak (2007 Remaster),691d390531e8e09cf9ed11dc0e2b7e414f27b4cd18fe85ed38cfe0f43076ed7c
117,Crazy In Love,Beyoncé (feat. Jay-Z),2003,https://youtube.com/watch?v=ViwtNLUqkMY,Beyoncé - Crazy In Love ft. JAY Z,7e31969c34b63b85fb7182b566979e0b79d5d17ef946556e31841e166e6bd500
118,What I've Done,LinkinPark,2007,https://youtube.com/watch?v=Jrprk5dNboI,What I've Done,10c694fd70350f0d505f19b053436dffd3d054221b52c8644e2adfd248e57d36
119,Respect,Aretha Franklin,1967,https://youtube.com/watch?v=9iayJ8u4Qew,Respect,b3b49901cb7f050808d3c6ba031f0fba5c8e06235f5fb0cae161398568734c4b
120,Do Wah Diddy Diddy,Mandred Mann,1964,https://youtube.com/watch?v=1UingsUi0mI,Do Wah Diddy Diddy,462e7b973ae8eabf2af29d5af045c47986fc281f1fb78b1362d2ecb81176c884
121,Blurred Lines,"Robin Thicke, T.I. & Pharrell",2013,https://youtube.com/watch?v=zwT6DZCQi9k,"Robin Thicke - Blurred Lines (Unrated Version) ft. T.I., Pharrell",8c7a18ef0a9426337b85e92ada71c13f2e1780799608299f1d24fe8c61f0bb97
122,Umbrella,Rihanna Jay-Z,2007,https://youtube.com/watch?v=crVOEJ2FwLE,Rihanna - Umbrella (official video),2aa36b3550d3f4ec352c97fb537ceb53863444c6b8269cbdeab27788c4415ef0
123,Congratulations,Cliff Richard,1968,https://youtube.com/watch?v=770f-pwPe4o,Congratulations,c0427a75afd3077b47fdb332bc73fb4c535d6173857dd4c90e19462228a6413f
124,Barbra Streisand,Duck Sauce,2010,https://youtube.com/watch?v=rZZGsRD1aJI,Duck Sauce - Barbra Streisand,1d932fa1c5aad96f248954b18ff1da2919a4d9a3d8a02493708ff92bd1931296
125,Dream Lover,Bobby Darin,1959,https://youtube.com/watch?v=wVHAQX5sSaU,Bobby Darin - Dream Lover,5611ccfb5b4779b55bc32a23011eed949234531ac56e03ba21717147e2fe9963
126,Never Surrender,Corey Hart,1985,https://youtube.com/watch?v=-4pg6Jh94Lo,Corey Hart - Never Surrender (Official Music Video),a6ee03357b177b80c6a328cbad96f672f4e44c3ecdc4761d0fcb9e2c4ba9c076
127,We Like To Party!,Vengaboys,1998,https://youtube.com/watch?v=6Zbi0XmGtMw,Vengaboys - We like to Party! (The Vengabus),3013e9d1c01565f9d677a20d79fd4c22914f7f945fb7dccb7583d9678f3891b6
